COLL,COURSE,CRED,CREDagg,CRN,CRNagg,DELIVERY,PROFS,ROOM,TERM,TIMEBLOCK,TITLE
AR,ART 101:15,3,3,53497,53497,In-Person,"Lounsbury, Grant",IM002,1ST,U8/Z8,Introduction to Drawing I
AR,ART 101:16,3,3,53498,53498,In-Person,"Benton, Sean",IM002,1ST,A2/K4/L1,Introduction to Drawing I
AR,ART 101:17,3,3,53499,53499,In-Person,"Martin, Fenn",IM002,1ST,U7/W7,Introduction to Drawing I
AR,ART 101:18,3,3,58518,58518,In-Person,"Brown-Georgallas, Kate",IM002,1ST,O7/W8,Introduction to Drawing I
AR,ART 102:21,3,3,53502,53502,In-Person,"MacLean, Andy",IM002,2ND,E5,Introduction to Drawing II
AR,ART 102:22,3,3,53503,53503,In-Person,"Tragakis, Adam",IM002,2ND,E4,Introduction to Drawing II
AR,ART 102:23,3,3,53504,53504,In-Person,"MacLean, Andy",IM002,2ND,E6,Introduction to Drawing II
AR,ART 102:24,3,3,53505,53505,In-Person,"Lounsbury, Grant",IM002,2ND,U8/Z8,Introduction to Drawing II
AR,ART 102:25,3,3,53506,53506,In-Person,"Benton, Sean",IM002,2ND,A2/K4/L1,Introduction to Drawing II
AR,ART 102:26,3,3,55318,55318,In-Person,"Martin, Fenn",IM002,2ND,U7/W7,Introduction to Drawing II
AR,ART 115:11,3,3,51794,51794,In-Person,"Young, Ruth",IM019,1ST,U8/Z8,Introduction to Design
AR,ART 115:12,3,3,51795,51795,In-Person,"Young, Ruth",IM019,1ST,E7,Introduction to Design
AR,ART 115:21,3,3,50414,50414,In-Person,"Young, Ruth",IM019,2ND,U8/Z8,Introduction to Design
AR,ART 115:22,3,3,50415,50415,In-Person,"Young, Ruth",IM019,2ND,E7,Introduction to Design
AR,ART 125:10,3,3,54752,54752,In-Person,"Gillam, Leigh",IM021,1ST,X4/Z1,Materials & Methods
AR,ART 125:20,3,3,54356,54356,In-Person,"Gillam, Leigh",IM021,2ND,X4/Z1,Materials & Methods
AR,ART 141:11,3,3,43871,43871,In-Person,"Gregory, Sharon",MULH3030,1ST,Z4/Z5,Art & Society I
AR,ART 141:12,3,3,56597,56597,In-Person,"Girard, Catherine",MULH3022,1ST,R4/R5,Art & Society I
AR,ART 142:21,3,3,43872,43872,In-Person,"Gregory, Sharon",MULH3030,2ND,Z4/Z5,Art & Society II
AR,ART 142:22,3,3,56598,56598,In-Person,"Girard, Catherine",MULH3026,2ND,R4/R5,Art & Society II
AR,ART 145:10,3,3,55316,55316,In-Person,"Benton, Sean",IM021,1ST,U4/W4,Introduction to Color
AR,ART 145:20,3,3,51105,51105,In-Person,"Benton, Sean",IM021,2ND,U4/W4,Introduction to Color
AR,ART 155:20,3,3,58517,58517,In-Person,"Girard, Catherine; Rodela, Tamara (Tammy); Tragakis, Adam",BB122,2ND,E7,The Scientist's Sketchpad
AR,ART 202:20,3,3,51106,51106,In-Person,"Pygott, Ian",IM002,2ND,U4/W4,Intro to Scenic Design
AR,ART 204:10,3,3,53508,53508,In-Person,"Lounsbury, Grant",IM002,1ST,O4/W5,Introduction to Painting I
AR,ART 204:20,3,3,58519,58519,In-Person,"Mensch, Jessica",IM002,2ND,U5/Z5,Introduction to Painting I
AR,ART 205:20,3,3,54759,54759,In-Person,"Lounsbury, Grant",IM002,2ND,O4/W5,Introduction to Painting II
AR,ART 211:11,3,3,56411,56411,In-Person,"Fecteau, Janette",IM018,1ST,X7/Z7,Stained Glass Studio I
AR,ART 211:12,3,3,56412,56412,In-Person,"Fecteau, Janette",IM018,1ST,O7/W8,Stained Glass Studio I
AR,ART 212:20,3,3,58520,58520,In-Person,"Fecteau, Janette",IM018,2ND,O7/W8,Stained Glass Studio II
AR,ART 221:20,3,3,58521,58521,In-Person,"Fecteau, Janette",IM018,2ND,X7/Z7,Batik Studio
AR,ART 233:10,3,3,53512,53512,In-Person,"Tetu, Odile",IM021,1ST,O4/W5,Introduction to Printmaking
AR,ART 240:10,3,3,56417,56417,In-Person,"Tetu, Odile",IM021,1ST,U8/Z8,Pastels
AR,ART 244:10,3,3,58516,58516,In-Person,"Girard, Catherine",CO265,1ST,W7/W8,History of Photography
AR,ART 259:10,3,3,56420,56420,In-Person,"Karuna, Antoinette",IM019,1ST,X7/Z7,Introductory Filmmaking
AR,ART 259:20,3,3,56130,56130,In-Person,"Karuna, Antoinette",IM019,2ND,X7/Z7,Introductory Filmmaking
AR,ART 261:20,3,3,58522,58522,In-Person,"Sparks, Arthur (Bruce)",MULH4022,2ND,O4/O5,Contemporary Art
AR,ART 265:10,3,3,55320,55320,In-Person,"Gillam, Leigh",IM019,1ST,E4,Introductory Animation
AR,ART 265:20,3,3,55321,55321,In-Person,"Gillam, Leigh",IM019,2ND,E4,Introductory Animation
AR,ART 269:10,3,3,57556,57556,In-Person,"Girard, Catherine",MULH4032,1ST,E5,The Body in Art
AR,ART 271:20,3,3,57457,57457,In-Person,"Mensch, Jessica",IM019,2ND,U4/W4,Intro to Digital Photography
AR,ART 297:20,3,3,58523,58523,In-Person,"Gregory, Sharon",BB236,2ND,Z7/Z8,ST: Classical Mythology in Art
AR,ART 298:10,3,3,58524,58524,In-Person,"Martin, Fenn",IM018,1ST,U8/Z8,ST: Intro Ceramic Handbuilding
AR,ART 298:20,3,3,58727,58727,In-Person,"Martin, Fenn",IM018,2ND,U8/Z8,ST: Intro Ceramic Handbuilding
AR,ART 321:20,3,3,58850,58850,In-Person,"Linkletter, Michael",IM201,2ND,O4/O5,Celtic Art
AR,ART 343:10,3,3,58525,58525,In-Person,"Sparks, Arthur (Bruce)",IM202,1ST,O4/O5,Issues in Cdn Art Through WWII
AR,ART 346:10,3,3,53521,53521,In-Person,"Brown-Georgallas, Kate",IM019,1ST,E5,Botanical Art
AR,ART 351:20,3,3,53318,53318,In-Person,"Tragakis, Adam",BB227,2ND,E6,Anat for the Artist: Drawing
AR,ART 354:20,3,3,57553,57553,In-Person,"Girard, Catherine",MULH3024,2ND,E5,"Women, Art, & Gender"
AR,ART 359:20,3,3,57557,57557,In-Person,"Karuna, Antoinette",IM019,2ND,A3/B3/L5,Intermediate Filmmaking
SC,BIOL 111:11,3,3,43621,43621,In-Person,"Bishop, Cory",BB237,1ST,C4/C5/C6,Intro Cell Biology
SC,BIOL 111:12,3,3,43620,43620,In-Person,"Bishop, Cory",BB237,1ST,K4/K5/K6,Intro Cell Biology
SC,BIOL 111:13S,3,3,53081,53081,In-Person,"Biernaskie, Jay",SCHW156,1ST,K4/K5/K6,Intro Cell Biology
SC,BIOL 111L:11,0,0,43622,43622,In-Person,"Bishop, Cory",BB119,1ST,X1/Z1,BIOL 111 Lab
SC,BIOL 111L:12,0,0,43626,43626,In-Person,"Bishop, Cory",BB119,1ST,U2/Z2,BIOL 111 Lab
SC,BIOL 111L:13,0,0,44136,44136,In-Person,"Bishop, Cory",BB119,1ST,U8/Z8,BIOL 111 Lab
SC,BIOL 111L:14,0,0,43623,43623,In-Person,"Bishop, Cory",BB119,1ST,X7/Z7,BIOL 111 Lab
SC,BIOL 111L:15,0,0,43624,43624,In-Person,"Bishop, Cory",BB119,1ST,O1/W2,BIOL 111 Lab
SC,BIOL 111L:16,0,0,43625,43625,In-Person,"Bishop, Cory",BB119,1ST,O7/W8,BIOL 111 Lab
SC,BIOL 112:21,3,3,46124,46124,In-Person,"Wyeth, Russell",BB237,2ND,C4/C5/C6,Diversity of Life
SC,BIOL 112:22,3,3,43627,43627,In-Person,"Perry, Jennifer (Jen)",SCHW156,2ND,K4/K5/K6,Diversity of Life
SC,BIOL 112:23S,3,3,56746,56746,In-Person,"Wyeth, Russell",BB237,2ND,K4/K5/K6,Diversity of Life
SC,BIOL 112L:21,0,0,43629,43629,In-Person,"Wyeth, Russell",BB119,2ND,X1/Z1,BIOL 112 Lab
SC,BIOL 112L:22,0,0,43630,43630,In-Person,"Wyeth, Russell",BB119,2ND,X7/Z7,BIOL 112 Lab
SC,BIOL 112L:23,0,0,43631,43631,In-Person,"Wyeth, Russell",BB119,2ND,O1/W2,BIOL 112 Lab
SC,BIOL 112L:24,0,0,43632,43632,In-Person,"Wyeth, Russell",BB119,2ND,O7/W8,BIOL 112 Lab
SC,BIOL 112L:25,0,0,43633,43633,In-Person,"Wyeth, Russell",BB119,2ND,U2/Z2,BIOL 112 Lab
SC,BIOL 112L:26,0,0,43800,43800,In-Person,"Wyeth, Russell",BB119,2ND,U8/Z8,BIOL 112 Lab
SC,BIOL 115:20,3,3,46697,46697,In-Person,"McNichol, Jesse",SCHW110,2ND,K4/K5/K6,Microbes in Human Biology
SC,BIOL 115L:20,0,0,41308,41308,In-Person,,MSBS225,2ND,U8/Z8,BIOL 115 Lab
SC,BIOL 151:10,3,3,53636,53636,In-Person,"Rasmussen, Roy",BB237,1ST,C1/C2/C3,Human Anatomy & Physiology I
SC,BIOL 151L:11,0,0,53637,53637,In-Person,"Rasmussen, Roy",BB227,1ST,X1/Z1,BIOL 151 Lab
SC,BIOL 151L:12,0,0,53639,53639,In-Person,"Rasmussen, Roy",BB227,1ST,B5/C5/K2,BIOL 151 Lab
SC,BIOL 151L:13,0,0,53640,53640,In-Person,"Rasmussen, Roy",BB227,1ST,C6/K3/L3,BIOL 151 Lab
SC,BIOL 151L:14,0,0,53641,53641,In-Person,"Rasmussen, Roy",BB227,1ST,U2/Z2,BIOL 151 Lab
SC,BIOL 152:20,3,3,53644,53644,In-Person,"Rasmussen, Roy",BB237,2ND,C1/C2/C3,Human Anatomy & Physiology II
SC,BIOL 152L:21,0,0,53645,53645,In-Person,"Rasmussen, Roy",BB227,2ND,X1/Z1,BIOL 152 Lab
SC,BIOL 152L:22,0,0,53647,53647,In-Person,"Rasmussen, Roy",BB227,2ND,B5/C5/K2,BIOL 152 Lab
SC,BIOL 152L:23,0,0,53648,53648,In-Person,"Rasmussen, Roy",BB227,2ND,C6/K3/L3,BIOL 152 Lab
SC,BIOL 152L:24,0,0,53649,53649,In-Person,"Rasmussen, Roy",BB227,2ND,U2/Z2,BIOL 152 Lab
SC,BIOL 201:20,3,3,52006,52006,In-Person,"Toxopeus, Jantina",BB237,2ND,L1/L2/L3,Animal Biology
SC,BIOL 201L:21,0,0,52010,52010,In-Person,"Lauff, Randy; Toxopeus, Jantina",BB226,2ND,U7/W7,BIOL 201 Lab
SC,BIOL 201L:22,0,0,52007,52007,In-Person,"Lauff, Randy; Toxopeus, Jantina",BB226,2ND,X7/Z7,BIOL 201 Lab
SC,BIOL 201L:23,0,0,52008,52008,In-Person,"Lauff, Randy; Toxopeus, Jantina",BB226,2ND,O7/W8,BIOL 201 Lab
SC,BIOL 201L:24,0,0,52011,52011,In-Person,"Lauff, Randy; Toxopeus, Jantina",BB226,2ND,E4,BIOL 201 Lab
SC,BIOL 201L:25,0,0,52009,52009,In-Person,"Lauff, Randy; Toxopeus, Jantina",BB226,2ND,U8/Z8,BIOL 201 Lab
SC,BIOL 202:10,3,3,52012,52012,In-Person,"Garbary, David",BB236,1ST,L1/L2/L3,Plant Biology
SC,BIOL 202L:11,0,0,52013,52013,In-Person,"Garbary, David",BB320,1ST,X7/Z7,BIOL 202 Lab
SC,BIOL 202L:12,0,0,52014,52014,In-Person,"Garbary, David",BB320,1ST,U7/W7,BIOL 202 Lab
SC,BIOL 203:10,3,3,46699,46699,In-Person,"Taylor, Barry",IM114,1ST,K4/K5/K6,Intro Ecology
SC,BIOL 203L:11,0,0,40407,40407,In-Person,"Taylor, Barry",BB228,1ST,X7/Z7,BIOL 203 Lab
SC,BIOL 203L:12,0,0,40408,40408,In-Person,"Taylor, Barry",BB228,1ST,O7/W8,BIOL 203 Lab
SC,BIOL 203L:13,0,0,40410,40410,In-Person,"Taylor, Barry",BB228,1ST,U8/Z8,BIOL 203 Lab
SC,BIOL 204:20,3,3,46701,46701,In-Person,"Galway, Moira",MULH2070,2ND,K4/K5/K6,Introduction to Genetics
SC,BIOL 204L:21,0,0,40412,40412,In-Person,"Galway, Moira",BB228,2ND,U7/W7,BIOL 204 Lab
SC,BIOL 204L:22,0,0,40416,40416,In-Person,"Galway, Moira",BB228,2ND,X7/Z7,BIOL 204 Lab
SC,BIOL 204L:23,0,0,40417,40417,In-Person,"Galway, Moira",BB228,2ND,O7/W8,BIOL 204 Lab
SC,BIOL 204L:24,0,0,40426,40426,In-Person,"Galway, Moira",BB228,2ND,U8/Z8,BIOL 204 Lab
SC,BIOL 204L:25,0,0,57439,57439,In-Person,"Galway, Moira",BB228,2ND,O8/X8,BIOL 204 Lab
SC,BIOL 204L:26,0,0,57440,57440,In-Person,"Galway, Moira",BB228,2ND,C6/K3/L3,BIOL 204 Lab
SC,BIOL 215:20,3,3,49487,49487,In-Person,"IOL - TBA,",BB337,2ND,B1/B2/B3,Microbiology for HNU
SC,BIOL 215L:21,0,0,49488,49488,In-Person,"Rogers, Leah",BB320,2ND,C6/K6/L3,BIOL 215 Lab
SC,BIOL 215L:22,0,0,49489,49489,In-Person,"Rogers, Leah",BB320,2ND,O8/X8,BIOL 215 Lab
SC,BIOL 220:66,6,6,58897,58897,Online-No Scheduled Delivery,"Delorey, Trudy",Online,FULL,TBA,Health & Environmental Issues
SC,BIOL 221:10,3,3,57709,57709,In-Person,"MacDonnell, Mallory",BB236,1ST,E7,Issues in Resource Management
SC,BIOL 251:10,3,3,46702,46702,In-Person,"Rodela, Tamara (Tammy)",MSBS225,1ST,C1/C2/C3,Human Anatomy & Physiology I
SC,BIOL 251:66,3,3,59006,59006,Online-No Scheduled Delivery,"Cardinal-Aucoin, Michael",Online,F1,TBA,Human Anatomy & Physiology I
SC,BIOL 251L:11,0,0,46432,46432,In-Person,"Rodela, Tamara (Tammy)",BB314,1ST,O7/W8,BIOL 251 Lab
SC,BIOL 251L:12,0,0,46433,46433,In-Person,"Rodela, Tamara (Tammy)",BB314,1ST,X7/Z7,BIOL 251 Lab
SC,BIOL 251L:13,0,0,53643,53643,In-Person,"Rodela, Tamara (Tammy)",BB314,1ST,U8/Z8,BIOL 251 Lab
SC,BIOL 251L:14,0,0,52167,52167,In-Person,"Rodela, Tamara (Tammy)",BB314,1ST,O8/X8,BIOL 251 Lab
SC,BIOL 251L:66,0,0,59007,59007,Online-No Scheduled Delivery,"Cardinal-Aucoin, Michael",Online,F1,TBA,BIOL 251 Lab
SC,BIOL 252:20,3,3,46928,46928,In-Person,"Rodela, Tamara (Tammy)",SCHW110,2ND,C1/C2/C3,Human Anatomy & Physiology II
SC,BIOL 252:66,3,3,59008,59008,Online-No Scheduled Delivery,"Cardinal-Aucoin, Michael",Online,F2,TBA,Human Anatomy & Physiology II
SC,BIOL 252L:21,0,0,40444,40444,In-Person,"Rodela, Tamara (Tammy)",BB314,2ND,O7/W8,BIOL 252 Lab
SC,BIOL 252L:22,0,0,46434,46434,In-Person,"Rodela, Tamara (Tammy)",BB314,2ND,X7/Z7,BIOL 252 Lab
SC,BIOL 252L:23,0,0,52170,52170,In-Person,"Rodela, Tamara (Tammy)",BB314,2ND,U8/Z8,BIOL 252 Lab
SC,BIOL 252L:25,0,0,54927,54927,In-Person,"Rodela, Tamara (Tammy)",BB314,2ND,C6/K3/L3,BIOL 252 Lab
SC,BIOL 252L:66,0,0,59009,59009,Online-No Scheduled Delivery,"Cardinal-Aucoin, Michael",Online,F2,TBA,BIOL 252 Lab
SC,BIOL 302:10,3,3,52015,52015,In-Person,"Garbary, David",BB305,1ST,B1/B2/B3,Evolution
SC,BIOL 302L:10,0,0,52016,52016,In-Person,"Garbary, David",BB237,1ST,E7,BIOL 302 Lab
SC,BIOL 304:10,3,3,54521,54521,In-Person,"Rodela, Tamara (Tammy)",MULH3032,1ST,C4/C5/C6,Comparative Physiology
SC,BIOL 304L:10,0,0,54522,54522,In-Person,"Rodela, Tamara (Tammy)",BB314,1ST,U7/W7,BIOL 304 Lab
SC,BIOL 308:20,3,3,54526,54526,In-Person,"Scrosati, Ricardo",BB236,2ND,C4/C5/C6,Biology of Populations
SC,BIOL 311:10,3,3,51264,51264,In-Person,"Scrosati, Ricardo",BB305,1ST,C4/C5/C6,Coastal Marine Ecology
SC,BIOL 311L:10,0,0,51265,51265,In-Person,"Scrosati, Ricardo",BB407,1ST,O7/W8,BIOL 311 Lab
SC,BIOL 315:10,3,3,46704,46704,In-Person,"McNichol, Jesse",BB236,1ST,A4/A5/A6,Intro Microbiology
SC,BIOL 315L:11,0,0,40945,40945,In-Person,"McNichol, Jesse",BB320,1ST,O7/W8,BIOL 315 Lab
SC,BIOL 315L:12,0,0,40946,40946,In-Person,"McNichol, Jesse",BB320,1ST,U8/Z8,BIOL 315 Lab
SC,BIOL 320:10,3,3,58514,58514,In-Person,"Galway, Moira",BB236,1ST,A1/A2/A3,Biology of Cancer
SC,BIOL 320L:10,0,0,58515,58515,In-Person,"Galway, Moira",BB407,1ST,X7/Z7,BIOL 320 Lab
SC,BIOL 331:20,3,3,46705,46705,In-Person,"Cupido, Kyran",MULH3034,2ND,A1/A2/A3,Biostatistics
SC,BIOL 331L:20,0,0,52930,52930,In-Person,"Keizer, Peter",MULH4034,2ND,C9,BIOL 331 Lab
SC,BIOL 335:20,3,3,58511,58511,In-Person,"Bishop, Cory",BB337,2ND,L4/L5/L6,Developmental Biology
SC,BIOL 335L:20,0,0,58512,58512,In-Person,"Bishop, Cory",BB407,2ND,O7/W8,BIOL 335 Lab
SC,BIOL 342:10,3,3,57797,57797,In-Person,"Wyeth, Russell",BB305,1ST,A1/A2/A3,Invertebrate Zoology
SC,BIOL 342L:10,0,0,57798,57798,In-Person,"Wyeth, Russell",BB407,1ST,U8/Z8,BIOL 342 Lab
SC,BIOL 343:10,3,3,52017,52017,In-Person,,,1ST,TBA,Comp Anatomy of Vertebrates
SC,BIOL 343L:10,0,0,52238,52238,In-Person,,,1ST,TBA,BIOL 343 Lab
SC,BIOL 345:20,3,3,52458,52458,In-Person,"Taylor, Barry",BB236,2ND,B1/B2/B3,Communities & Ecosystems
SC,BIOL 360:20,3,3,53660,53660,In-Person,"Scrosati, Ricardo",BB236,2ND,Z4/Z5,Global Change Biology
SC,BIOL 374:20,3,3,57802,57802,In-Person,"Berrigan, Lindsay",MULH4030,2ND,X4/X5,Human Neuropsychology
SC,BIOL 381:10,3,3,57710,57710,In-Person,"Wyeth, Russell; Toxopeus, Jantina",BB337,1ST,L4/L5/L6,ST: Biol. Research Experience
SC,BIOL 381L:10,0,0,57711,57711,In-Person,"Wyeth, Russell; Toxopeus, Jantina",BB407,1ST,O8/X8,BIOL 381 Lab
SC,BIOL 382:20,3,3,57712,57712,In-Person,"Perry, Jennifer (Jen)",BB337,2ND,K1/K2/K3,ST: Evolutionary Medicine
SC,BIOL 391:00,0,0,48723,48723,In-Person,"Wyeth, Russell; Toxopeus, Jantina",GM001,FULL,B5,Junior Seminar
SC,BIOL 395:20,3,3,55480,55480,In-Person,"Toxopeus, Jantina",BB337,2ND,A4/A5/A6,Cell Biology
SC,BIOL 395L:20,0,0,55481,55481,In-Person,"Toxopeus, Jantina",BB320,2ND,X7/Z7,BIOL 395 Lab
SC,BIOL 398:20,3,3,58710,58710,In-Person,"McNichol, Jesse",BB236,2ND,K1/K2/K3,ST:Exploring Native Microbiota
SC,BIOL 398L:20,0,0,58711,58711,In-Person,"McNichol, Jesse",BB320,2ND,U8/Z8,BIOL 398 Lab
SC,BIOL 405:20,3,3,56632,56632,In-Person,"Rodela, Tamara (Tammy)",BB305,2ND,C4/C5/C6,Comparative Endocrinology
SC,BIOL 405L:20,0,0,56633,56633,In-Person,"Rodela, Tamara (Tammy)",BB314,2ND,U7/W7,BIOL 405 Lab
SC,BIOL 415:10,3,3,54527,54527,In-Person,"Scrosati, Ricardo",BB305,1ST,C1/C2/C3,Biogeography
SC,BIOL 415L:10,0,0,54528,54528,In-Person,"Scrosati, Ricardo",BB335M,1ST,U7/W7,BIOL 415 Lab
SC,BIOL 452:20,3,3,58513,58513,In-Person,"Bishop, Cory",BB236,2ND,Z1/Z2,Bioinformatics
SC,BIOL 454:10,3,3,58626,58626,In-Person,"Berrigan, Lindsay",AX113,1ST,U7/W4,Adv Behavioral Neuroscience II
SC,BIOL 475:00,3,3,55733,55733,In-Person,"Wyeth, Russell; Toxopeus, Jantina",,FULL,TBA,Honours Thesis I
SC,BIOL 481:20,3,3,57713,57713,In-Person,"Taylor, Barry",BB305,2ND,K4/K5/K6,ST: Restoration Ecology
SC,BIOL 484:10,3,3,55485,55485,In-Person,"Perry, Jennifer (Jen)",BB337,1ST,O4/O5,Animal Behaviour
SC,BIOL 484L:10,0,0,55612,55612,In-Person,"Perry, Jennifer (Jen)",BB228,1ST,O8/X8,BIOL 484 Lab
SC,BIOL 491:00,0,0,51278,51278,In-Person,"Wyeth, Russell; Toxopeus, Jantina",BB236,FULL,B4/B5/B6,Senior Seminar
SC,BIOL 493:00,3,3,46716,46716,In-Person,"Wyeth, Russell; Toxopeus, Jantina",,FULL,TBA,Honours Thesis II
SC,BIOL 499:00,3,3,59000,59000,In-Person,"Toxopeus, Jantina; Mazerolle, Erin",,FULL,TBA,Neurophysiology
SC,BIOL 499:11,3,3,58954,58954,In-Person,"Rodela, Tamara (Tammy)",,1ST,TBA,Environmental Physiology I
SC,BIOL 499:12,3,3,58956,58956,In-Person,"Toxopeus, Jantina",,1ST,TBA,Cell Biology of Cytoskeleton
SC,BIOL 499:13,3,3,59040,59040,In-Person,"Perry, Jennifer (Jen)",,1ST,TBA,Life History Strategies
SC,BIOL 499:21,3,3,58955,58955,In-Person,"Rodela, Tamara (Tammy)",,2ND,TBA,Environmental Physiology II
BU,BSAD 111:11A,3,3,57756,57756,In-Person,"Mack, Abede (Adede)",SCHW205,1ST,U1/U2,Intro to Business
BU,BSAD 111:11B,3,3,57757,57757,In-Person,"Mack, Abede (Adede)",SCHW205,1ST,U1/U2,Intro to Business
BU,BSAD 111:12A,3,3,57758,57758,In-Person,"Carter-Rogers, Katelynn",SCHW215,1ST,W1/W2,Intro to Business
